alg time sample
SelectionSort 94 10000
InsertionSort 151 10000
QuickSort 36 10000
MergeSort 95 10000
BubbleSort 416 10000
SelectionSort 70 11000
InsertionSort 161 11000
QuickSort 64 11000
MergeSort 105 11000
BubbleSort 453 11000
SelectionSort 83 12000
InsertionSort 146 12000
QuickSort 61 12000
MergeSort 108 12000
BubbleSort 496 12000
SelectionSort 95 13000
InsertionSort 171 13000
QuickSort 23 13000
MergeSort 92 13000
BubbleSort 590 13000
SelectionSort 112 14000
InsertionSort 203 14000
QuickSort 45 14000
MergeSort 98 14000
BubbleSort 689 14000
SelectionSort 138 15000
InsertionSort 302 15000
QuickSort 31 15000
MergeSort 108 15000
BubbleSort 810 15000
SelectionSort 172 16000
InsertionSort 343 16000
QuickSort 35 16000
MergeSort 122 16000
BubbleSort 938 16000
SelectionSort 184 17000
InsertionSort 344 17000
QuickSort 25 17000
MergeSort 137 17000
BubbleSort 1039 17000
SelectionSort 195 18000
InsertionSort 442 18000
QuickSort 29 18000
MergeSort 150 18000
BubbleSort 1184 18000
SelectionSort 212 19000
InsertionSort 431 19000
QuickSort 26 19000
MergeSort 140 19000
BubbleSort 1348 19000
SelectionSort 236 20000
InsertionSort 420 20000
QuickSort 26 20000
MergeSort 167 20000
BubbleSort 1481 20000
SelectionSort 270 21000
InsertionSort 577 21000
QuickSort 31 21000
MergeSort 173 21000
BubbleSort 1590 21000
SelectionSort 290 22000
InsertionSort 522 22000
QuickSort 31 22000
MergeSort 199 22000
BubbleSort 1780 22000
SelectionSort 337 23000
InsertionSort 704 23000
QuickSort 34 23000
MergeSort 208 23000
BubbleSort 1950 23000
SelectionSort 355 24000
InsertionSort 642 24000
QuickSort 41 24000
MergeSort 222 24000
BubbleSort 2126 24000
SelectionSort 381 25000
InsertionSort 697 25000
QuickSort 37 25000
MergeSort 237 25000
BubbleSort 2305 25000
SelectionSort 422 26000
InsertionSort 756 26000
QuickSort 40 26000
MergeSort 313 26000
BubbleSort 2586 26000
SelectionSort 460 27000
InsertionSort 699 27000
QuickSort 38 27000
MergeSort 275 27000
BubbleSort 2723 27000
SelectionSort 494 28000
InsertionSort 1081 28000
QuickSort 52 28000
MergeSort 303 28000
BubbleSort 2914 28000
SelectionSort 523 29000
InsertionSort 1154 29000
QuickSort 47 29000
MergeSort 318 29000
BubbleSort 3133 29000
SelectionSort 570 30000
InsertionSort 1049 30000
QuickSort 52 30000
MergeSort 342 30000
BubbleSort 3373 30000
SelectionSort 604 31000
InsertionSort 1296 31000
QuickSort 50 31000
MergeSort 362 31000
BubbleSort 3710 31000
SelectionSort 645 32000
InsertionSort 1143 32000
QuickSort 45 32000
MergeSort 401 32000
BubbleSort 3853 32000
SelectionSort 697 33000
InsertionSort 1364 33000
QuickSort 53 33000
MergeSort 405 33000
BubbleSort 4172 33000
SelectionSort 754 34000
InsertionSort 1345 34000
QuickSort 54 34000
MergeSort 429 34000
BubbleSort 4538 34000
SelectionSort 803 35000
InsertionSort 1446 35000
QuickSort 68 35000
MergeSort 460 35000
BubbleSort 4639 35000
SelectionSort 853 36000
InsertionSort 1494 36000
QuickSort 59 36000
MergeSort 599 36000
BubbleSort 4906 36000
SelectionSort 885 37000
InsertionSort 1556 37000
QuickSort 56 37000
MergeSort 523 37000
BubbleSort 5424 37000
SelectionSort 953 38000
InsertionSort 1786 38000
QuickSort 62 38000
MergeSort 559 38000
BubbleSort 5745 38000
SelectionSort 1015 39000
InsertionSort 2119 39000
QuickSort 68 39000
MergeSort 574 39000
BubbleSort 6037 39000
SelectionSort 1047 40000
InsertionSort 2185 40000
QuickSort 65 40000
MergeSort 603 40000
BubbleSort 6331 40000
